0.100,0.400,0.300,0.800,0.700,0.900,0
0.092,0.384,0.291,0.808,0.686,0.810,0
0.110,0.400,0.330,0.752,0.644,0.972,0
0.096,0.388,0.303,0.872,0.735,0.837,0
0.104,0.360,0.279,0.880,0.735,0.873,0
0.107,0.372,0.285,0.872,0.721,0.900,0
0.095,0.428,0.279,0.792,0.686,0.864,0
0.108,0.392,0.318,0.760,0.651,0.882,0
0.092,0.428,0.279,0.848,0.728,0.819,0
0.107,0.396,0.315,0.784,0.644,0.819,0
0.106,0.416,0.297,0.808,0.686,0.819,0
0.103,0.392,0.291,0.768,0.672,0.882,0
0.100,0.436,0.315,0.720,0.756,0.936,0
0.103,0.380,0.285,0.840,0.679,0.981,0
0.107,0.420,0.276,0.832,0.686,0.900,0
0.096,0.364,0.270,0.792,0.693,0.864,0
0.106,0.436,0.288,0.880,0.672,0.981,0
0.092,0.400,0.327,0.736,0.700,0.927,0
0.094,0.412,0.273,0.800,0.735,0.927,0
0.107,0.388,0.309,0.720,0.735,0.972,0
0.101,0.424,0.318,0.728,0.714,0.900,0
0.102,0.400,0.309,0.776,0.721,0.900,0
0.103,0.412,0.321,0.816,0.658,0.864,0
0.109,0.396,0.294,0.768,0.714,0.891,0
0.095,0.360,0.294,0.872,0.714,0.837,0
0.107,0.396,0.330,0.776,0.700,0.945,0
0.097,0.376,0.312,0.736,0.651,0.828,0
0.102,0.400,0.282,0.824,0.630,0.828,0
0.097,0.380,0.273,0.736,0.756,0.990,0
0.092,0.416,0.291,0.808,0.679,0.873,0
0.104,0.392,0.327,0.776,0.665,0.837,0
0.095,0.436,0.315,0.728,0.686,0.927,0
0.106,0.376,0.285,0.880,0.658,0.954,0
0.094,0.384,0.297,0.848,0.721,0.900,0
0.098,0.388,0.276,0.840,0.756,0.882,0
0.107,0.408,0.300,0.720,0.651,0.846,0
0.096,0.420,0.276,0.872,0.721,0.936,0
0.093,0.440,0.276,0.880,0.763,0.828,0
0.093,0.420,0.315,0.784,0.714,0.936,0
0.096,0.412,0.300,0.856,0.686,0.900,0
0.101,0.436,0.327,0.824,0.770,0.909,0
0.107,0.360,0.297,0.728,0.630,0.981,0
0.099,0.392,0.309,0.736,0.637,0.954,0
0.106,0.360,0.297,0.800,0.735,0.945,0
0.100,0.440,0.282,0.768,0.651,0.927,0
0.093,0.420,0.321,0.872,0.770,0.837,0
0.103,0.436,0.297,0.792,0.721,0.918,0
0.091,0.368,0.300,0.824,0.651,0.873,0
0.098,0.380,0.312,0.736,0.686,0.864,0
0.091,0.440,0.300,0.744,0.770,0.945,0
0.094,0.396,0.330,0.864,0.679,0.909,0
0.095,0.440,0.321,0.720,0.630,0.819,0
0.090,0.360,0.282,0.776,0.749,0.945,0
0.095,0.416,0.273,0.752,0.686,0.927,0
0.096,0.376,0.291,0.736,0.686,0.855,0
0.095,0.384,0.282,0.848,0.770,0.909,0
0.096,0.412,0.309,0.784,0.630,0.963,0
0.092,0.364,0.282,0.816,0.665,0.909,0
0.103,0.388,0.270,0.768,0.637,0.873,0
0.090,0.408,0.321,0.840,0.700,0.936,0
0.109,0.432,0.315,0.776,0.665,0.990,0
0.094,0.436,0.321,0.792,0.763,0.873,0
0.109,0.392,0.309,0.808,0.637,0.873,0
0.105,0.376,0.312,0.784,0.686,0.846,0
0.101,0.364,0.330,0.800,0.686,0.981,0
0.097,0.428,0.309,0.808,0.763,0.954,0
0.102,0.396,0.285,0.856,0.714,0.936,0
0.094,0.392,0.321,0.792,0.707,0.927,0
0.103,0.388,0.330,0.848,0.707,0.963,0
0.108,0.432,0.291,0.752,0.707,0.945,0
0.099,0.360,0.276,0.824,0.742,0.819,0
0.099,0.380,0.309,0.792,0.637,0.810,0
0.100,0.440,0.276,0.736,0.770,0.810,0
0.093,0.400,0.315,0.816,0.721,0.981,0
0.101,0.392,0.279,0.816,0.658,0.837,0
0.090,0.424,0.291,0.840,0.651,0.990,0
0.098,0.384,0.294,0.848,0.756,0.927,0
0.105,0.400,0.288,0.808,0.644,0.846,0
0.109,0.424,0.300,0.808,0.735,0.900,0
0.110,0.392,0.321,0.864,0.742,0.891,0
0.098,0.440,0.297,0.832,0.756,0.927,0
0.093,0.400,0.282,0.880,0.742,0.954,0
0.091,0.388,0.270,0.808,0.644,0.846,0
0.091,0.420,0.321,0.784,0.658,0.882,0
0.110,0.400,0.303,0.800,0.714,0.882,0
0.102,0.424,0.297,0.800,0.770,0.891,0
0.099,0.380,0.315,0.832,0.756,0.972,0
0.104,0.404,0.330,0.848,0.714,0.819,0
0.100,0.392,0.279,0.824,0.770,0.972,0
0.105,0.376,0.318,0.736,0.742,0.810,0
0.099,0.368,0.279,0.752,0.637,0.873,0
0.090,0.368,0.315,0.744,0.763,0.864,0
0.109,0.396,0.291,0.784,0.665,0.972,0
0.097,0.360,0.300,0.832,0.735,0.810,0
0.101,0.396,0.288,0.808,0.651,0.864,0
0.106,0.372,0.306,0.784,0.756,0.972,0
0.104,0.384,0.300,0.744,0.679,0.945,0
0.107,0.404,0.291,0.752,0.742,0.972,0
